date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:36	35/35	---M--	200	added ('OK')	text/plain	etag:%2223-61b2ff86-0%22	http://qnafarm.com/robots.txt		(from )
09:39:36	159358/159358	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2002:39:36%20GMT	http://qnafarm.com/	D:/View/QNA/QNA/qnafarm.com/index.html	(from )
09:39:38	159358/159358	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2002:39:37%20GMT	http://qnafarm.com/index.html	D:/View/QNA/QNA/qnafarm.com/index-2.html	(from http://qnafarm.com/)
09:39:38	29295/29295	---M-Z	200	added ('OK')	text/css	etag:%22726f-61b2fea4-0%22	http://qnafarm.com/themes/web/css/dist/block-library/style.min6619.css	D:/View/QNA/QNA/qnafarm.com/themes/web/css/dist/block-library/style.min6619.css	(from http://qnafarm.com/)
09:39:38	27470/27470	---M-Z	200	added ('OK')	text/css	etag:%226b4e-61b2fea4-0%22	http://qnafarm.com/themes/web/css/font-awesome.min.css	D:/View/QNA/QNA/qnafarm.com/themes/web/css/font-awesome.min.css	(from http://qnafarm.com/)
09:39:38	435/435	---M--	200	added ('OK')	text/css	etag:%221b3-61b2fea4-0%22	http://qnafarm.com/themes/web/css/fl-icons.css	D:/View/QNA/QNA/qnafarm.com/themes/web/css/fl-icons.css	(from http://qnafarm.com/)
09:39:38	5107/5107	---M--	200	added ('OK')	image/png	etag:%2213f3-61b2ff21-0%22	http://qnafarm.com/uploads/system/images/favicon.png	D:/View/QNA/QNA/qnafarm.com/uploads/system/images/favicon.png	(from http://qnafarm.com/)
09:39:39	136137/136137	---M-Z	200	added ('OK')	text/css	etag:%22213c9-61b2fea4-0%22	http://qnafarm.com/themes/web/css/style.css?ver=3.8.3	D:/View/QNA/QNA/qnafarm.com/themes/web/css/stylecd70.css	(from http://qnafarm.com/)
09:39:40	22190/22190	---M--	200	added ('OK')	text/css	etag:%2256ae-61b2fea5-0%22	http://qnafarm.com/themes/web/css/style_shop.css?ver=3.8.3	D:/View/QNA/QNA/qnafarm.com/themes/web/css/style_shopcd70.css	(from http://qnafarm.com/)
09:39:41	45903/45903	---M-Z	200	added ('OK')	text/css	etag:%22b34f-61b2fea3-0%22	http://qnafarm.com/themes/web/css/custom.css?v=1639120547	D:/View/QNA/QNA/qnafarm.com/themes/web/css/custom5313.css	(from http://qnafarm.com/)
