date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:59	120/120	---MC-	200	added ('OK')	text/plain	date:Sat,%2017%20Jun%202023%2017:08:28%20GMT	https://matonghoabonmua.com/robots.txt		(from )
09:40:59	119051/119051	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Jun%202023%2017:08:28%20GMT	https://matonghoabonmua.com/	D:/View/matong/MatOng/matonghoabonmua.com/index.html	(from )
09:41:00	100200/100200	---M--	200	added ('OK')	text/css	etag:%2218768-52d312120d300%22	https://matonghoabonmua.com/wp-content/themes/eco_beweb/bootstrap/css/bootstrap.min.css	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/themes/eco_beweb/bootstrap/css/bootstrap.min.css	(from https://matonghoabonmua.com/)
09:41:00	29063/29063	---M--	200	added ('OK')	text/css	etag:%227187-532b117799f00%22	https://matonghoabonmua.com/wp-content/themes/eco_beweb/font-awesome/css/font-awesome.min.css	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/themes/eco_beweb/font-awesome/css/font-awesome.min.css	(from https://matonghoabonmua.com/)
09:41:00	3514/3514	---M--	200	added ('OK')	text/css	etag:%22dba-504d967f3d280%22	https://matonghoabonmua.com/wp-content/themes/eco_beweb/css/slick.css	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/themes/eco_beweb/css/slick.css	(from https://matonghoabonmua.com/)
09:41:00	46827/46827	---M--	200	added ('OK')	text/css	etag:%22b6eb-59fae53867580%22	https://matonghoabonmua.com/wp-content/themes/eco_beweb/style.css	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/themes/eco_beweb/style.css	(from https://matonghoabonmua.com/)
09:41:01	2994/2994	---M--	200	added ('OK')	text/css	etag:%22bb2-53898fad4fc80%22	https://matonghoabonmua.com/wp-content/themes/eco_beweb/css/responsive.css	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/themes/eco_beweb/css/responsive.css	(from https://matonghoabonmua.com/)
09:41:01	6498/6498	---M--	200	added ('OK')	text/css	etag:%221962-52cf763c5b980%22	https://matonghoabonmua.com/wp-content/themes/eco_beweb/css/mega-menu.css	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/themes/eco_beweb/css/mega-menu.css	(from https://matonghoabonmua.com/)
09:41:01	7429/7429	---M--	200	added ('OK')	image/png	etag:%221d05-5439b81e7d780%22	https://matonghoabonmua.com/wp-content/uploads/2016/12/logo.png	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/uploads/2016/12/logo.png	(from https://matonghoabonmua.com/)
09:41:01	693/693	---M--	200	added ('OK')	text/css	etag:%222b5-5d9fbe8204180%22	https://matonghoabonmua.com/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.7.9	D:/View/matong/MatOng/matonghoabonmua.com/wp-content/plugins/gtranslate/gtranslate-style24fcc2.css	(from https://matonghoabonmua.com/)
